Date Time,Water Level,Sigma,O,F,R,L,Quality
4/23/16 01:36,1.02,2.00E-03,0,0,0,0,v
4/23/16 01:42,1.03,2.00E-03,0,0,0,0,v
4/23/16 01:48,1.05,2.00E-03,0,0,0,0,v
4/23/16 01:54,1.06,1.00E-03,0,0,0,0,v
4/23/16 02:00,1.07,1.00E-03,0,0,0,0,v
4/23/16 02:06,1.07,0,0,0,0,0,v
4/23/16 02:12,1.07,0,0,0,0,0,v
4/23/16 02:18,1.07,0,0,0,0,0,v
4/23/16 02:24,1.06,1.00E-03,0,0,0,0,v
4/23/16 02:30,1.05,1.00E-03,0,0,0,0,v
4/23/16 02:36,1.04,2.00E-03,0,0,0,0,v
4/23/16 02:42,1.02,3.00E-03,0,0,0,0,v
4/23/16 02:48,1,3.00E-03,0,0,0,0,v
4/23/16 02:54,0.97,3.00E-03,0,0,0,0,v
4/23/16 03:00,0.94,4.00E-03,0,0,0,0,v
4/23/16 03:06,0.91,4.00E-03,0,0,0,0,v
4/23/16 03:12,0.88,4.00E-03,0,0,0,0,v
4/23/16 03:18,0.84,4.00E-03,0,0,0,0,v
4/23/16 03:24,0.81,4.00E-03,0,0,0,0,v
4/23/16 03:30,0.77,5.00E-03,0,0,0,0,v
4/23/16 03:36,0.74,5.00E-03,0,0,0,0,v
4/23/16 03:42,0.7,5.00E-03,0,0,0,0,v
4/23/16 03:48,0.67,4.00E-03,0,0,0,0,v
4/23/16 03:54,0.63,5.00E-03,0,0,0,0,v
4/23/16 04:00,0.59,4.00E-03,0,0,0,0,v
4/23/16 04:06,0.56,4.00E-03,0,0,0,0,v
4/23/16 04:12,0.53,4.00E-03,0,0,0,0,v
4/23/16 04:18,0.49,4.00E-03,0,0,0,0,v
4/23/16 04:24,0.46,4.00E-03,0,0,0,0,v
4/23/16 04:30,0.42,4.00E-03,0,0,0,0,v
4/23/16 04:36,0.39,4.00E-03,0,0,0,0,v
4/23/16 04:42,0.35,4.00E-03,0,0,0,0,v
4/23/16 04:48,0.32,4.00E-03,0,0,0,0,v
4/23/16 04:54,0.29,4.00E-03,0,0,0,0,v
4/23/16 05:00,0.25,4.00E-03,0,0,0,0,v
4/23/16 05:06,0.22,4.00E-03,0,0,0,0,v
4/23/16 05:12,0.18,4.00E-03,0,0,0,0,v
4/23/16 05:18,0.15,4.00E-03,0,0,0,0,v
4/23/16 05:24,0.12,4.00E-03,0,0,0,0,v
4/23/16 05:30,0.09,4.00E-03,0,0,0,0,v
4/23/16 05:36,0.05,4.00E-03,0,0,0,0,v
4/23/16 05:42,0.02,4.00E-03,0,0,0,0,v
4/23/16 05:48,-3.00E-03,4.00E-03,0,0,0,0,v
4/23/16 05:54,-0.03,4.00E-03,0,0,0,0,v
4/23/16 06:00,-0.06,5.00E-03,0,0,0,0,v
4/23/16 06:06,-0.09,4.00E-03,0,0,0,0,v
4/23/16 06:12,-0.13,4.00E-03,0,0,0,0,v
4/23/16 06:18,-0.16,4.00E-03,0,0,0,0,v
